Attaching to jenkins
jenkins  | Running from: /usr/share/jenkins/jenkins.war
jenkins  | 	at jenkins.util.AntClassLoader.defineClassFromData(AntClassLoader.java:1161)
jenkins  | 	at jenkins.util.AntClassLoader.getClassFromStream(AntClassLoader.java:1332)
jenkins  | 	at jenkins.util.AntClassLoader.findClassInComponents(AntClassLoader.java:1384)
jenkins  | 	at jenkins.util.AntClassLoader.findClass(AntClassLoader.java:1349)
jenkins  | 	at jenkins.ClassLoaderReflectionToolkit._findClass(ClassLoaderReflectionToolkit.java:108)
jenkins  | 	at hudson.PluginManager$UberClassLoader.findClass(PluginManager.java:2153)
jenkins  | 	at java.base/java.lang.ClassLoader.loadClass(ClassLoader.java:589)
jenkins  | 	at java.base/java.lang.ClassLoader.loadClass(ClassLoader.java:522)
jenkins  | 	at org.jvnet.hudson.annotation_indexer.Index$2$1.fetch(Index.java:113)
jenkins  | 	at org.jvnet.hudson.annotation_indexer.Index$2$1.hasNext(Index.java:82)
jenkins  | 	at org.jvnet.hudson.annotation_indexer.SubtypeIterator.fetch(SubtypeIterator.java:18)
jenkins  | 	at org.jvnet.hudson.annotation_indexer.SubtypeIterator.hasNext(SubtypeIterator.java:28)
jenkins  | 	at org.jenkinsci.plugins.structs.SymbolLookup.find(SymbolLookup.java:95)
jenkins  | 	at org.jenkinsci.plugins.structs.SymbolLookup$find$0.call(Unknown Source)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.CallSiteArray.defaultCall(CallSiteArray.java:48)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:113)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:133)
jenkins  | 	at javaposse.jobdsl.plugin.structs.DescribableHelper$_findDescribableModels_closure4.doCall(DescribableHelper.groovy:69)
jenkins  | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
jenkins  | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
jenkins  | 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
jenkins  | 	at java.base/java.lang.reflect.Method.invoke(Method.java:566)
jenkins  | 	at org.codehaus.groovy.reflection.CachedMethod.invoke(CachedMethod.java:93)
jenkins  | 	at groovy.lang.MetaMethod.doMethodInvoke(MetaMethod.java:325)
jenkins  | 	at org.codehaus.groovy.runtime.metaclass.ClosureMetaClass.invokeMethod(ClosureMetaClass.java:294)
jenkins  | 	at groovy.lang.MetaClassImpl.invokeMethod(MetaClassImpl.java:1022)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.PogoMetaClassSite.call(PogoMetaClassSite.java:42)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.CallSiteArray.defaultCall(CallSiteArray.java:48)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:113)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.BooleanReturningMethodInvoker.invoke(BooleanReturningMethodInvoker.java:51)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.BooleanClosureWrapper.call(BooleanClosureWrapper.java:53)
jenkins  | 	at org.codehaus.groovy.runtime.DefaultGroovyMethods.findAll(DefaultGroovyMethods.java:4331)
jenkins  | 	at org.codehaus.groovy.runtime.DefaultGroovyMethods.findAll(DefaultGroovyMethods.java:4203)
jenkins  | 	at org.codehaus.groovy.runtime.DefaultGroovyMethods.findAll(DefaultGroovyMethods.java:4188)
jenkins  | 	at org.codehaus.groovy.runtime.dgm$203.invoke(Unknown Source)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.PojoMetaMethodSite$PojoMetaMethodSiteNoUnwrapNoCoerce.invoke(PojoMetaMethodSite.java:274)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.PojoMetaMethodSite.call(PojoMetaMethodSite.java:56)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.CallSiteArray.defaultCall(CallSiteArray.java:48)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:113)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:125)
jenkins  | 	at javaposse.jobdsl.plugin.structs.DescribableHelper.findDescribableModels(DescribableHelper.groovy:69)
jenkins  | 	at javaposse.jobdsl.plugin.structs.DescribableHelper$findDescribableModels$0.callStatic(Unknown Source)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.CallSiteArray.defaultCallStatic(CallSiteArray.java:56)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.callStatic(AbstractCallSite.java:194)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.callStatic(AbstractCallSite.java:214)
jenkins  | 	at javaposse.jobdsl.plugin.ExtensionPointHelper.findExtensionPoints(ExtensionPointHelper.groovy:28)
jenkins  | 	at javaposse.jobdsl.plugin.JenkinsJobManagement.callExtension(JenkinsJobManagement.java:384)
jenkins  | 	at javaposse.jobdsl.dsl.JobManagement$callExtension$1.call(Unknown Source)
jenkins  | 	at javaposse.jobdsl.dsl.AbstractExtensibleContext.methodMissing(AbstractExtensibleContext.groovy:17)
jenkins  | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
jenkins  | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
jenkins  | 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
jenkins  | 	at java.base/java.lang.reflect.Method.invoke(Method.java:566)
jenkins  | 	at org.codehaus.groovy.reflection.CachedMethod.invoke(CachedMethod.java:93)
jenkins  | 	at groovy.lang.MetaClassImpl.invokeMissingMethod(MetaClassImpl.java:939)
jenkins  | 	at groovy.lang.MetaClassImpl.invokePropertyOrMissing(MetaClassImpl.java:1262)
jenkins  | 	at groovy.lang.MetaClassImpl.invokeMethod(MetaClassImpl.java:1215)
jenkins  | 	at groovy.lang.MetaClassImpl.invokeMethod(MetaClassImpl.java:1022)
jenkins  | 	at groovy.lang.MetaClassImpl.invokeMethod(MetaClassImpl.java:810)
jenkins  | 	at javaposse.jobdsl.dsl.AbstractContext.invokeMethod(AbstractContext.groovy)
jenkins  | 	at org.codehaus.groovy.runtime.metaclass.ClosureMetaClass.invokeOnDelegationObjects(ClosureMetaClass.java:430)
jenkins  | 	at org.codehaus.groovy.runtime.metaclass.ClosureMetaClass.invokeMethod(ClosureMetaClass.java:369)
jenkins  | 	at groovy.lang.MetaClassImpl.invokeMethod(MetaClassImpl.java:1022)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.PogoMetaClassSite.callCurrent(PogoMetaClassSite.java:69)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.CallSiteArray.defaultCallCurrent(CallSiteArray.java:52)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.callCurrent(AbstractCallSite.java:154)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.callCurrent(AbstractCallSite.java:166)
jenkins  | 	at javaposse.jobdsl.dsl.helpers.ScmContext$_git_closure3.doCall(ScmContext.groovy:95)
jenkins  | 	at javaposse.jobdsl.dsl.helpers.ScmContext$_git_closure3.doCall(ScmContext.groovy)
jenkins  | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
jenkins  | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
jenkins  | 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
jenkins  | 	at java.base/java.lang.reflect.Method.invoke(Method.java:566)
jenkins  | 	at org.codehaus.groovy.reflection.CachedMethod.invoke(CachedMethod.java:93)
jenkins  | 	at groovy.lang.MetaMethod.doMethodInvoke(MetaMethod.java:325)
jenkins  | 	at org.codehaus.groovy.runtime.metaclass.ClosureMetaClass.invokeMethod(ClosureMetaClass.java:294)
jenkins  | 	at groovy.lang.MetaClassImpl.invokeMethod(MetaClassImpl.java:1022)
jenkins  | 	at groovy.lang.Closure.call(Closure.java:414)
jenkins  | 	at groovy.lang.Closure.call(Closure.java:408)
jenkins  | 	at groovy.util.BuilderSupport.doInvokeMethod(BuilderSupport.java:147)
jenkins  | 	at groovy.util.BuilderSupport.invokeMethod(BuilderSupport.java:67)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.PogoMetaClassSite.call(PogoMetaClassSite.java:48)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.CallSiteArray.defaultCall(CallSiteArray.java:48)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:113)
jenkins  | 	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:133)
jenkins  | 	at javaposse.jobdsl.dsl.helpers.ScmContext.git(ScmContext.groovy:93)
